Sat Mar  1 18:58:48 2014	63	Butcher The Bar	You Know Everything	Sleep At Your Own Speed
Sat Mar  1 19:01:19 2014	64	Aerosol	Softly Slipping	Airborne
Sat Mar  1 19:06:43 2014	63	Toro Y Moi	Day One	Anything In Return
Sat Mar  1 19:10:55 2014	65	Year Of	Sleep	Slow Days
Sat Mar  1 19:16:14 2014	63	Ulrich Schnauss & Mark Peters	Yesterday Didn't Exist	Underrated Silence
Sat Mar  1 19:20:59 2014	65	Fat Jon & Styrofoam	Generic Genes	The Same Channel
Sat Mar  1 19:25:32 2014	64	Marconi Union	Under Wires And Searchlights	Under Wires And Searchlights
Sat Mar  1 19:34:59 2014	61	Mike Milosh	The Sky Is Grey	You Make Me Feel
Sat Mar  1 19:40:36 2014	62	Contriva	Before	Separate Chambers
Sat Mar  1 19:44:29 2014	63	Borko	Hondo & Borko	Celebrating Life
Sat Mar  1 19:50:59 2014	57	Sin Fang	Walk With You	Half Dreams
Sat Mar  1 19:54:55 2014	59	Teen Daze	Divided Loyalties	The Inner Mansions
Sat Mar  1 19:59:15 2014	60	Nuuro	All Clear	All Clear
Sat Mar  1 20:02:46 2014	60	Logh	The Smoke Will Lead You Home	Northern Living
Sat Mar  1 20:07:02 2014	61	American Dollar	Twelve Days Awake	The American Dollar
Sat Mar  1 20:11:47 2014	64	Candlegravity	With Many Tears	Junpei
Sat Mar  1 20:16:35 2014	61	B. Fleischmann	First Times	The Humbucking Coil
Sat Mar  1 20:21:18 2014	58	Four Tet	Chia	Rounds
Sat Mar  1 20:21:37 2014	59	Arovane	Tides	Tides
Sat Mar  1 20:26:59 2014	62	Go Find	Dictionary	Stars On The Wall
Sat Mar  1 20:31:00 2014	62	City Light	Rewind Replay Repeat	Memory Guide
Sat Mar  1 20:34:28 2014	60	Electric President	Grand Machine No. 12	Morr Classics Pt.1
Sat Mar  1 20:38:27 2014	63	Architecture In Helsinki	B4 3d	Moment Bends
Sat Mar  1 20:42:32 2014	59	Bibio	All The Flowers (Lone Remix)	The Apple And The Tooth
Sat Mar  1 20:46:48 2014	62	Skipping Girl Vinegar	You Can	Keep Calm, Carry The Monkey
Sat Mar  1 20:50:01 2014	62	Toro Y Moi	Grown Up Calls	Anything In Return
Sat Mar  1 20:53:06 2014	62	Chvrches	Zvvl	Recover
Sat Mar  1 20:56:16 2014	62	Mmoths	If Only	Mmoths
Sat Mar  1 21:00:19 2014	66	Antlers	No Widows	Burst Apart (Amazon MP3 Exclusive Version) [Explicit]
Sat Mar  1 21:05:23 2014	65	Sigur Ros	Isjaki	Kveikur
Sat Mar  1 21:10:18 2014	65	Plushgun	All The Same	Me.Me.
Sat Mar  1 21:14:40 2014	62	Laura Gibson & Ethan Rose	Sun	Bridge Carols
Sat Mar  1 21:17:34 2014	62	Milosh	Remember The Good Things	iii
Sat Mar  1 21:23:16 2014	61	Sally Shapiro	Time To Let Go	Northern Living
Sat Mar  1 21:28:24 2014	57	Telefon Tel Aviv Feat. Lindsay Anderson	Street Spirit (Fade Out)	Exit Music
Sat Mar  1 21:35:53 2014	59	Teen Daze	Ice On The Windowsill	Glacier
Sat Mar  1 21:40:06 2014	59	Four Tet	Tangle	Pause
Sat Mar  1 21:43:28 2014	54	Khonnor	Dusty	Handwriting
Sat Mar  1 21:47:07 2014	54	Beacon	Into The Night	For Now
Sat Mar  1 21:50:30 2014	54	Contriva	I Can Wait	Morr Classics Pt.2
Sat Mar  1 21:54:49 2014	51	Dead Leaf Echo	Child	Thought & Language
Sat Mar  1 21:58:42 2014	56	Helios	Bless This Morning Year	Eingya
Sat Mar  1 22:04:21 2014	55	Ulfur	Black Shore	White Mountain
Sat Mar  1 22:07:34 2014	56	Am & Shawn Lee	Winter Sun	Celestial Electric
Sat Mar  1 22:11:01 2014	55	Dan Black	Cocoon	((UN))
Sat Mar  1 22:15:22 2014	54	Ulrich Schnauss & Jonas Munk	Johnny (Sentimental Fool)	Epic
Sat Mar  1 22:20:28 2014	57	Limp	Silent Running	Blue Skied An' Clear
