Tue Jan  1 11:13:06 2013	33	Sarah McLachlan	Song For A Winter's Night	Rarities, B-Sides, and other stuff
Tue Jan  1 11:16:44 2013	32	Ettes, The	Seasons	Do You Want Power (Dig)
Tue Jan  1 11:19:46 2013	32	Bray	This Christmas	n/a
Tue Jan  1 11:23:02 2013	29	Prayer For Animals	Riptide Yuletide	n/a
Tue Jan  1 11:27:16 2013	31	Dream Diary	Christmas All Over (Tom Petty cover)	n/a
Tue Jan  1 11:29:48 2013	31	Terry Downs	Winter Wonderland	n/a
Tue Jan  1 11:31:34 2013	27	Sally Shapiro	Anorak Christmas (Piano mix)	Cory's Christmas Show
Tue Jan  1 11:35:53 2013	29	Fred Thomas	Snow Bight	n/a
Tue Jan  1 11:37:53 2013	27	Still Corners	The White Season	Creatures Of An Hour
Tue Jan  1 11:40:30 2013	28	Vacancies, The	Father Christmas	n/a
Tue Jan  1 11:43:32 2013	29	Oranger	Winter Gardener	From the Ashes of Electric Elves
Tue Jan  1 11:47:23 2013	29	Felice Brothers, The	Murder By Mistletoe	The Felice Brothers [Vinyl]
Tue Jan  1 11:51:59 2013	30	I The Mighty	The Christmas Song	n/a
Tue Jan  1 11:54:52 2013	30	She & Him	Blue Christmas	A Very She & Him Christmas
Tue Jan  1 11:58:09 2013	30	Layaways, The	Angels We Have Heard On High	n/a
Tue Jan  1 12:00:10 2013	30	Jimi Hendrix	Little Drummer Boy, Silent Night	n/a
Tue Jan  1 12:04:54 2013	30	AM & Shawn Lee	Winter Sun	Celestial Electric
Tue Jan  1 12:08:22 2013	32	Beach Boys	Little Saint Nick	Christmas With the Beach Boys
Tue Jan  1 12:10:17 2013	31	Standard Fare	Tinsel Politics	n/a
Tue Jan  1 12:14:09 2013	31	Bosque Brown	Silent Night	n/a
Tue Jan  1 12:17:16 2013	31	LAKE	Christmas Island	n/a
Tue Jan  1 12:19:41 2013	28	Triangle Park	Christmas Lights	n/a
Tue Jan  1 12:22:34 2013	28	Sufjan Stevens	Sister Winter	Peace: Songs for Christmas, Vol. V
Tue Jan  1 12:27:21 2013	30	Bright Eyes	Oh Little Town Of Bethlehem	n/a
Tue Jan  1 12:30:10 2013	29	Federalists, The	Christmas (Baby, Please Come Home)	n/a
Tue Jan  1 12:32:56 2013	30	Brian Setzer Orchestra	Sleigh Ride	Boogie Woogie Christmas
Tue Jan  1 12:35:28 2013	29	Stevie Wonder	What Christmas Means To Me	Someday At Christmas
Tue Jan  1 12:37:53 2013	31	Medics, The	Christmas Alarm	n/a
Tue Jan  1 12:41:14 2013	28	Beau Jennings	Christmas Day (Or, A Hungry Dog Will Fight)	Do you EAR what I EAR?
Tue Jan  1 12:44:43 2013	30	My Morning Jacket	Please Come Home for Christmas (iTunes Session)	n/a
Tue Jan  1 12:47:40 2013	33	Pretenders, The	Have Yourself A Merry Little Christmas	A Very Special Christmas
Tue Jan  1 12:52:09 2013	37	Flaming Lips	A Change At Christmas (Say It Isn't So)	Ego Tripping At The Gates Of Hell (EP)
Tue Jan  1 12:57:21 2013	33	Jingle Punx	Joy To The World	n/a
Tue Jan  1 12:59:20 2013	33	Tracey Thorn	Hard Candy Christmas	Tinsel & Lights
Tue Jan  1 13:02:38 2013	33	Trophy Fire, The	White Christmas	n/a
Tue Jan  1 13:06:48 2013	34	I Am The World Trade Center	Rockefeller Tree	n/a
Tue Jan  1 13:09:27 2013	33	John Lennon	Happy Xmas (War Is Over)	The John Lennon Collection
Tue Jan  1 13:12:56 2013	32	Eastern Sea	Carol Of The Bells	n/a
Tue Jan  1 13:13:59 2013	32	Pines, The	Silver Bells	n/a
Tue Jan  1 13:17:21 2013	35	Lunchbox	Christmas Time Is Here	n/a
Tue Jan  1 13:19:59 2013	35	Smashing Pumpkins	Christmastime	n/a
Tue Jan  1 13:23:13 2013	35	Guided By Voices	Kicker Of Elves	Bee Thousand
Tue Jan  1 13:24:18 2013	35	Dickies, The	Silent Night	Punk Rock Xmas
Tue Jan  1 13:26:30 2013	34	Seabear	In Winters Eyes	We Built A Fire
Tue Jan  1 13:30:18 2013	36	Amor De Dias	Season of Light	Street of the Love of Days
Tue Jan  1 13:33:05 2013	35	Bell, The	Holiday	n/a
Tue Jan  1 13:36:36 2013	35	High the Moon	Christmas Day	n/a
Tue Jan  1 13:39:31 2013	35	Slow Club	Christmas (Baby Please Come Home)	Christmas Thanks for Nothing Ep
Tue Jan  1 13:42:17 2013	36	Failure To Excel	This Is Christmas Day	n/a
Tue Jan  1 13:46:06 2013	37	Rough Shop	Big Man Under the Tree	n/a
Tue Jan  1 13:48:23 2013	36	Rogue Wave	Jingle Bell Rock	n/a
Tue Jan  1 13:51:05 2013	37	Saint Etienne	My Christmas Prayer	Xfm: It's A Cool, Cool Christmas
Tue Jan  1 13:54:17 2013	36	Weezer	We Wish You A Merry Christmas	n/a
Tue Jan  1 13:55:54 2013	35	She & Him	Christmas Wish	A Very She & Him Christmas
Tue Jan  1 13:58:41 2013	36	Barbary Coasters	I Want A Monkey for Christmas	Hark!
Tue Jan  1 14:01:07 2013	35	Shadetree	christmas peace	n/a
Tue Jan  1 14:04:29 2013	37	Kingsbury Manx	Snow Angel Dance	The Fast Rise and Fall of the South
Tue Jan  1 14:06:16 2013	37	Romeo Spike	Christmas Diablo	n/a
Tue Jan  1 14:10:10 2013	35	Lyle Lovett	The Girl With The Holiday Smile	Songs for the Season - Single
Tue Jan  1 14:13:58 2013	33	Duke Of Norfolk	Lovely Winter	n/a
Tue Jan  1 14:18:24 2013	35	Apples In Stereo	Winter Must Be Cold	Fun Trick Noisemaker
Tue Jan  1 14:21:37 2013	34	Sufjan Stevens	Did I Make You Cry On Christmas Day (Well, You Deserved It)	Songs for Christmas
Tue Jan  1 14:24:53 2013	33	Tom Waits	Christmas Card From a Hooker In Minneapolis	Blue Valentine
Tue Jan  1 14:29:16 2013	31	Bears	I'm a Snowman	n/a
Tue Jan  1 14:31:52 2013	33	Ween	Silent Night	n/a
Tue Jan  1 14:33:31 2013	34	Polyphonic Spree	Carol of the Drum (Little Drummer Boy)	Holidaydream: Sounds of the Holidays Vol. One
Tue Jan  1 14:37:34 2013	36	May Fire, The	It's A Marshmallow World	n/a
Tue Jan  1 14:40:50 2013	34	Young Moon	Cold Day Solstice	Navigated Like the Swans
Tue Jan  1 14:44:34 2013	32	Good Kings, The	Good King Wenceslas	n/a
Tue Jan  1 14:47:15 2013	33	Soviet League	The Holiday Game	n/a
Tue Jan  1 14:51:55 2013	34	Saints Of Valory	Winter Lights	A Rock By The Sea Christmas :: Volume Three
Tue Jan  1 14:56:47 2013	32	Higher Elevations	All These Winter Nights	n/a
Tue Jan  1 15:00:05 2013	35	Fairmont	This Song Is Your Christmas Gift	n/a
Tue Jan  1 15:02:34 2013	30	Tracey Thorn	Tinsel and Lights	Tinsel & Lights
Tue Jan  1 15:05:52 2013	31	Danger Mouse & Daniele Luppi	Season's Trees	Rome
Tue Jan  1 15:08:57 2013	31	Long Winters	Christmas With You Is The Best	The OC: Chrismukkah album
Tue Jan  1 15:12:06 2013	32	Jingle Punx	Feliz Navidad	n/a
Tue Jan  1 15:14:17 2013	32	Apocalypse Cow	Christmas Thyme	n/a
Tue Jan  1 15:15:35 2013	33	Santa Claus	Ho Ho Ho	n/a
Tue Jan  1 15:15:48 2013	33	Eastern Sea	Silver Bells	n/a
Tue Jan  1 15:18:54 2013	35	Smithereens, The	Rudolph, The Red Nosed Reindeer	n/a
Tue Jan  1 15:21:52 2013	34	Scissors For Lefty	Have Yourself A Merry Little Christmas	n/a
Tue Jan  1 15:24:09 2013	35	Nurses	Winter	Apple's Acre
